Running Block:  44


trying total_time: 40.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00005_01_beh2_slice_44.h5
Using 5 Taylor terms and 4 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :7.54e-01; Runtime: 22.9s; Iterations = 60, grads =   3.962e-03, unitary_metric = 1.00000
Error = :7.51e-01; Runtime: 29.9s; Iterations = 80, grads =   4.052e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 37.1s; Iterations = 100, grads =   4.588e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 44.7s; Iterations = 120, grads =   2.146e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 51.7s; Iterations = 140, grads =   3.584e-04, unitary_metric = 1.00000
Error = :7.51e-01; Runtime: 58.9s; Iterations = 160, grads =   5.132e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 65.8s; Iterations = 180, grads =   3.041e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 73.1s; Iterations = 200, grads =   4.985e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 80.6s; Iterations = 220, grads =   4.000e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 87.5s; Iterations = 240, grads =   2.303e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 94.7s; Iterations = 260, grads =   3.191e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 101.9s; Iterations = 280, grads =   1.264e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 108.8s; Iterations = 300, grads =   2.798e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 116.2s; Iterations = 320, grads =   7.567e-04, unitary_metric = 1.00000
Error = :7.51e-01; Runtime: 123.2s; Iterations = 340, grads =   4.901e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 130.5s; Iterations = 360, grads =   5.455e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 137.7s; Iterations = 380, grads =   4.326e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 144.8s; Iterations = 400, grads =   1.869e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 152.2s; Iterations = 420, grads =   5.812e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 159.1s; Iterations = 440, grads =   1.197e-03, unitary_metric = 1.00000
Error = :7.51e-01; Runtime: 166.2s; Iterations = 460, grads =   7.380e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 173.5s; Iterations = 480, grads =   7.054e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 180.8s; Iterations = 500, grads =   1.584e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 188.2s; Iterations = 520, grads =   1.291e-06, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 195.1s; Iterations = 540, grads =   8.229e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 202.0s; Iterations = 560, grads =   2.142e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 209.3s; Iterations = 580, grads =   2.238e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 216.5s; Iterations = 600, grads =   2.551e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 224.4s; Iterations = 620, grads =   2.106e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 231.2s; Iterations = 640, grads =   2.571e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 238.1s; Iterations = 660, grads =   5.427e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 245.1s; Iterations = 680, grads =   3.235e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 252.3s; Iterations = 700, grads =   3.217e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 260.1s; Iterations = 720, grads =   1.781e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 267.3s; Iterations = 740, grads =   1.763e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 274.2s; Iterations = 760, grads =   2.532e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 281.1s; Iterations = 780, grads =   8.555e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 288.0s; Iterations = 800, grads =   2.776e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 295.7s; Iterations = 820, grads =   3.379e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 302.9s; Iterations = 840, grads =   1.093e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 310.1s; Iterations = 860, grads =   8.586e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 317.4s; Iterations = 880, grads =   1.281e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 324.3s; Iterations = 900, grads =   2.312e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 331.8s; Iterations = 920, grads =   3.015e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 338.7s; Iterations = 940, grads =   1.093e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 345.8s; Iterations = 960, grads =   2.081e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 353.1s; Iterations = 980, grads =   3.880e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 360.3s; Iterations = 1000, grads =   1.606e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 367.7s; Iterations = 1020, grads =   1.023e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 374.6s; Iterations = 1040, grads =   2.155e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 381.5s; Iterations = 1060, grads =   1.574e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 388.6s; Iterations = 1080, grads =   1.645e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 395.9s; Iterations = 1100, grads =   1.639e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 403.7s; Iterations = 1120, grads =   9.261e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 410.7s; Iterations = 1140, grads =   1.156e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 417.6s; Iterations = 1160, grads =   2.578e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 424.5s; Iterations = 1180, grads =   2.375e-05, unitary_metric = 1.00000
