Running Block:  44


trying total_time: 40.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00000_31_beh2_slice_44.h5
Using 5 Taylor terms and 4 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :7.50e-01; Runtime: 131.4s; Iterations = 340, grads =   7.494e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 139.0s; Iterations = 360, grads =   5.128e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 146.5s; Iterations = 380, grads =   2.469e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 154.0s; Iterations = 400, grads =   1.339e-03, unitary_metric = 0.99999
Error = :7.51e-01; Runtime: 162.1s; Iterations = 420, grads =   4.666e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 169.7s; Iterations = 440, grads =   2.306e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 177.2s; Iterations = 460, grads =   1.059e-04, unitary_metric = 0.99999
Error = :7.51e-01; Runtime: 184.7s; Iterations = 480, grads =   5.201e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 192.2s; Iterations = 500, grads =   1.044e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 200.4s; Iterations = 520, grads =   1.627e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 207.9s; Iterations = 540, grads =   2.681e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 215.4s; Iterations = 560, grads =   3.283e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 222.9s; Iterations = 580, grads =   1.328e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 230.5s; Iterations = 600, grads =   1.715e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 238.5s; Iterations = 620, grads =   2.157e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 246.1s; Iterations = 640, grads =   3.636e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 253.6s; Iterations = 660, grads =   1.426e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 261.1s; Iterations = 680, grads =   1.159e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 268.6s; Iterations = 700, grads =   7.671e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 276.9s; Iterations = 720, grads =   3.495e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 284.4s; Iterations = 740, grads =   1.684e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 292.0s; Iterations = 760, grads =   2.108e-04, unitary_metric = 0.99999
Error = :7.51e-01; Runtime: 299.5s; Iterations = 780, grads =   4.272e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 307.0s; Iterations = 800, grads =   1.298e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 315.2s; Iterations = 820, grads =   1.224e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 322.8s; Iterations = 840, grads =   1.456e-04, unitary_metric = 0.99999
Error = :7.51e-01; Runtime: 330.3s; Iterations = 860, grads =   4.673e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 337.8s; Iterations = 880, grads =   6.519e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 345.4s; Iterations = 900, grads =   3.524e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 353.6s; Iterations = 920, grads =   3.843e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 361.1s; Iterations = 940, grads =   7.545e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 368.6s; Iterations = 960, grads =   5.642e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 376.1s; Iterations = 980, grads =   2.156e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 383.7s; Iterations = 1000, grads =   8.929e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 391.8s; Iterations = 1020, grads =   1.666e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 399.4s; Iterations = 1040, grads =   1.212e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 407.0s; Iterations = 1060, grads =   1.582e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 414.6s; Iterations = 1080, grads =   6.419e-06, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 422.2s; Iterations = 1100, grads =   1.997e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 430.4s; Iterations = 1120, grads =   1.161e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 437.9s; Iterations = 1140, grads =   3.299e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 445.5s; Iterations = 1160, grads =   9.429e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 453.0s; Iterations = 1180, grads =   3.745e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 460.6s; Iterations = 1200, grads =   2.021e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 468.8s; Iterations = 1220, grads =   6.679e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 476.3s; Iterations = 1240, grads =   8.212e-06, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 483.9s; Iterations = 1260, grads =   1.538e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 491.5s; Iterations = 1280, grads =   1.538e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 499.0s; Iterations = 1300, grads =   2.001e-04, unitary_metric = 1.00000
Error = :7.51e-01; Runtime: 507.2s; Iterations = 1320, grads =   4.555e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 514.7s; Iterations = 1340, grads =   4.358e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 522.3s; Iterations = 1360, grads =   6.510e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 529.9s; Iterations = 1380, grads =   5.919e-06, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 537.5s; Iterations = 1400, grads =   1.381e-06, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 545.6s; Iterations = 1420, grads =   3.200e-06, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 553.1s; Iterations = 1440, grads =   1.295e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 560.6s; Iterations = 1460, grads =   2.734e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 568.2s; Iterations = 1480, grads =   3.364e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 575.7s; Iterations = 1500, grads =   1.721e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 583.9s; Iterations = 1520, grads =   7.280e-06, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 591.4s; Iterations = 1540, grads =   1.525e-06, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 598.9s; Iterations = 1560, grads =   2.525e-07, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 606.6s; Iterations = 1580, grads =   9.260e-07, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 614.1s; Iterations = 1600, grads =   4.116e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 622.3s; Iterations = 1620, grads =   2.240e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 629.9s; Iterations = 1640, grads =   1.770e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 637.4s; Iterations = 1660, grads =   3.556e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 645.1s; Iterations = 1680, grads =   1.156e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 652.8s; Iterations = 1700, grads =   8.882e-07, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 661.0s; Iterations = 1720, grads =   3.282e-06, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 668.5s; Iterations = 1740, grads =   1.731e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 676.1s; Iterations = 1760, grads =   7.587e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 683.6s; Iterations = 1780, grads =   1.530e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 691.1s; Iterations = 1800, grads =   1.408e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 699.2s; Iterations = 1820, grads =   1.430e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 706.8s; Iterations = 1840, grads =   4.031e-06, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 714.8s; Iterations = 1860, grads =   1.583e-06, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 722.4s; Iterations = 1880, grads =   1.437e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 729.9s; Iterations = 1900, grads =   2.036e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 738.0s; Iterations = 1920, grads =   2.949e-05, unitary_metric = 0.99999
