Running Block:  244


trying total_time: 30.0 for unitary of size (4, 4)
data saved at: /project/ftchong/qoc/pranav/00016_27_block244.h5
Using 4 Taylor terms and 3 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :1.24e-01; Runtime: 378.5s; Iterations = 2080, grads =   1.273e-05, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 381.9s; Iterations = 2100, grads =   4.329e-04, unitary_metric = 1.00004
Error = :1.25e-01; Runtime: 385.9s; Iterations = 2120, grads =   8.435e-02, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 389.3s; Iterations = 2140, grads =   1.106e-03, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 392.8s; Iterations = 2160, grads =   3.852e-03, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 396.3s; Iterations = 2180, grads =   4.655e-03, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 399.7s; Iterations = 2200, grads =   6.007e-04, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 403.7s; Iterations = 2220, grads =   5.592e-04, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 407.1s; Iterations = 2240, grads =   6.881e-05, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 410.5s; Iterations = 2260, grads =   3.015e-06, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 414.0s; Iterations = 2280, grads =   2.306e-05, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 417.4s; Iterations = 2300, grads =   2.854e-03, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 421.4s; Iterations = 2320, grads =   1.426e-02, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 424.8s; Iterations = 2340, grads =   1.615e-03, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 428.2s; Iterations = 2360, grads =   2.514e-04, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 431.5s; Iterations = 2380, grads =   1.235e-04, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 434.9s; Iterations = 2400, grads =   6.032e-03, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 438.9s; Iterations = 2420, grads =   2.053e-02, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 442.2s; Iterations = 2440, grads =   6.634e-03, unitary_metric = 1.00004
