Running Block:  44


trying total_time: 40.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00000_02_beh2_slice_44.h5
Using 5 Taylor terms and 4 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :7.50e-01; Runtime: 1808.5s; Iterations = 2420, grads =   1.729e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1823.3s; Iterations = 2440, grads =   1.597e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1837.3s; Iterations = 2460, grads =   2.224e-05, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1851.3s; Iterations = 2480, grads =   5.020e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1866.5s; Iterations = 2500, grads =   7.694e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1882.2s; Iterations = 2520, grads =   1.285e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1896.3s; Iterations = 2540, grads =   1.591e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1910.2s; Iterations = 2560, grads =   9.800e-05, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1924.1s; Iterations = 2580, grads =   8.731e-04, unitary_metric = 1.00024
Error = :7.50e-01; Runtime: 1938.1s; Iterations = 2600, grads =   1.940e-03, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1953.1s; Iterations = 2620, grads =   2.957e-04, unitary_metric = 1.00023
Error = :7.49e-01; Runtime: 1967.2s; Iterations = 2640, grads =   2.570e-03, unitary_metric = 1.00025
Error = :5.68e-01; Runtime: 1982.2s; Iterations = 2660, grads =   5.854e-01, unitary_metric = 1.00019
Error = :5.06e-01; Runtime: 1997.8s; Iterations = 2680, grads =   4.191e-02, unitary_metric = 1.00020
Error = :5.01e-01; Runtime: 2012.6s; Iterations = 2700, grads =   5.989e-03, unitary_metric = 1.00018
Error = :5.00e-01; Runtime: 2028.4s; Iterations = 2720, grads =   8.020e-04, unitary_metric = 1.00019
Error = :5.00e-01; Runtime: 2043.0s; Iterations = 2740, grads =   6.467e-05, unitary_metric = 1.00020
Error = :5.00e-01; Runtime: 2057.7s; Iterations = 2760, grads =   1.263e-05, unitary_metric = 1.00019
Error = :5.00e-01; Runtime: 2072.3s; Iterations = 2780, grads =   8.757e-07, unitary_metric = 1.00019
Error = :5.00e-01; Runtime: 2087.0s; Iterations = 2800, grads =   3.559e-07, unitary_metric = 1.00018
Error = :5.00e-01; Runtime: 2102.7s; Iterations = 2820, grads =   3.190e-07, unitary_metric = 1.00018
Error = :5.00e-01; Runtime: 2117.4s; Iterations = 2840, grads =   5.500e-07, unitary_metric = 1.00019
Error = :5.00e-01; Runtime: 2132.0s; Iterations = 2860, grads =   1.211e-06, unitary_metric = 1.00018
Error = :4.99e-01; Runtime: 2146.7s; Iterations = 2880, grads =   3.466e-06, unitary_metric = 1.00019
Error = :4.98e-01; Runtime: 2161.3s; Iterations = 2900, grads =   1.667e-05, unitary_metric = 1.00020
Error = :4.89e-01; Runtime: 2176.9s; Iterations = 2920, grads =   3.889e-04, unitary_metric = 1.00021
Error = :1.49e-01; Runtime: 2191.4s; Iterations = 2940, grads =   2.467e+00, unitary_metric = 1.00019
Error = :1.44e-02; Runtime: 2206.0s; Iterations = 2960, grads =   1.669e-01, unitary_metric = 1.00016
Error = :1.41e-03; Runtime: 2220.6s; Iterations = 2980, grads =   1.291e-02, unitary_metric = 1.00017
Error = :8.73e-04; Runtime: 2226.4s; Iterations = 2988, grads =   6.275e-03, unitary_metric = 1.00016
data saved at: /project/ftchong/qoc/pranav/00000_02_beh2_slice_44.h5


trying total_time: 20.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00001_02_beh2_slice_44.h5
Using 7 Taylor terms and 2 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :9.99e-01; Runtime: 0.6s; Iterations = 0, grads =   2.608e-04, unitary_metric = 1.00002
Error = :8.84e-01; Runtime: 8.8s; Iterations = 20, grads =   7.223e-03, unitary_metric = 1.00000
Error = :8.33e-01; Runtime: 15.9s; Iterations = 40, grads =   3.394e-03, unitary_metric = 1.00000
Error = :7.54e-01; Runtime: 23.0s; Iterations = 60, grads =   3.962e-03, unitary_metric = 1.00000
Error = :7.51e-01; Runtime: 30.1s; Iterations = 80, grads =   4.052e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 37.2s; Iterations = 100, grads =   4.588e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 44.8s; Iterations = 120, grads =   2.146e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 51.9s; Iterations = 140, grads =   3.584e-04, unitary_metric = 1.00000
Error = :7.51e-01; Runtime: 59.0s; Iterations = 160, grads =   5.132e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 66.1s; Iterations = 180, grads =   3.041e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 73.2s; Iterations = 200, grads =   4.985e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 81.0s; Iterations = 220, grads =   4.000e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 88.1s; Iterations = 240, grads =   2.303e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 95.2s; Iterations = 260, grads =   3.191e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 102.3s; Iterations = 280, grads =   1.264e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 109.4s; Iterations = 300, grads =   2.798e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 117.0s; Iterations = 320, grads =   7.567e-04, unitary_metric = 1.00000
Error = :7.51e-01; Runtime: 124.1s; Iterations = 340, grads =   4.901e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 131.3s; Iterations = 360, grads =   5.455e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 138.4s; Iterations = 380, grads =   4.326e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 145.4s; Iterations = 400, grads =   1.869e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 153.1s; Iterations = 420, grads =   5.812e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 160.2s; Iterations = 440, grads =   1.197e-03, unitary_metric = 1.00000
Error = :7.51e-01; Runtime: 167.3s; Iterations = 460, grads =   7.380e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 174.4s; Iterations = 480, grads =   7.054e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 181.5s; Iterations = 500, grads =   1.584e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 189.2s; Iterations = 520, grads =   1.291e-06, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 196.3s; Iterations = 540, grads =   8.229e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 203.4s; Iterations = 560, grads =   2.142e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 210.5s; Iterations = 580, grads =   2.238e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 217.7s; Iterations = 600, grads =   2.551e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 225.2s; Iterations = 620, grads =   2.106e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 232.3s; Iterations = 640, grads =   2.571e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 239.4s; Iterations = 660, grads =   5.427e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 246.5s; Iterations = 680, grads =   3.235e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 253.6s; Iterations = 700, grads =   3.217e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 261.2s; Iterations = 720, grads =   1.781e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 268.3s; Iterations = 740, grads =   1.763e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 275.4s; Iterations = 760, grads =   2.532e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 282.5s; Iterations = 780, grads =   8.555e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 289.5s; Iterations = 800, grads =   2.776e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 296.8s; Iterations = 820, grads =   3.379e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 303.6s; Iterations = 840, grads =   1.093e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 310.4s; Iterations = 860, grads =   8.586e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 317.1s; Iterations = 880, grads =   1.281e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 323.9s; Iterations = 900, grads =   2.312e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 331.1s; Iterations = 920, grads =   3.015e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 337.8s; Iterations = 940, grads =   1.093e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 344.5s; Iterations = 960, grads =   2.081e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 351.3s; Iterations = 980, grads =   3.880e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 358.0s; Iterations = 1000, grads =   1.606e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 365.2s; Iterations = 1020, grads =   1.023e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 371.9s; Iterations = 1040, grads =   2.155e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 378.6s; Iterations = 1060, grads =   1.574e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 385.4s; Iterations = 1080, grads =   1.645e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 392.2s; Iterations = 1100, grads =   1.639e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 399.5s; Iterations = 1120, grads =   9.261e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 406.2s; Iterations = 1140, grads =   1.156e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 413.0s; Iterations = 1160, grads =   2.578e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 419.7s; Iterations = 1180, grads =   2.375e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 426.4s; Iterations = 1200, grads =   4.702e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 433.6s; Iterations = 1220, grads =   2.242e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 440.3s; Iterations = 1240, grads =   8.470e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 447.0s; Iterations = 1260, grads =   6.578e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 453.8s; Iterations = 1280, grads =   2.954e-03, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 460.6s; Iterations = 1300, grads =   3.906e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 467.8s; Iterations = 1320, grads =   8.015e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 474.5s; Iterations = 1340, grads =   4.934e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 481.2s; Iterations = 1360, grads =   1.307e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 487.9s; Iterations = 1380, grads =   1.147e-03, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 494.6s; Iterations = 1400, grads =   7.047e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 501.9s; Iterations = 1420, grads =   1.837e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 508.6s; Iterations = 1440, grads =   6.210e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 515.3s; Iterations = 1460, grads =   6.755e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 522.1s; Iterations = 1480, grads =   7.792e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 528.7s; Iterations = 1500, grads =   7.598e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 535.9s; Iterations = 1520, grads =   4.708e-05, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 542.6s; Iterations = 1540, grads =   5.992e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 549.3s; Iterations = 1560, grads =   7.303e-04, unitary_metric = 1.00000
Error = :7.50e-01; Runtime: 556.1s; Iterations = 1580, grads =   3.200e-04, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 562.9s; Iterations = 1600, grads =   7.397e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 570.2s; Iterations = 1620, grads =   1.581e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 576.9s; Iterations = 1640, grads =   2.998e-06, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 583.7s; Iterations = 1660, grads =   1.748e-05, unitary_metric = 0.99999
Error = :7.50e-01; Runtime: 590.4s; Iterations = 1680, grads =   2.279e-03, unitary_metric = 0.99999
